id,category
46,Patient-Doctor Communication
47,Patient-Doctor Communication
47,Patient-Doctor Communication
47,Patient-Doctor Communication
48,Patient-Doctor Communication
48,Patient-Doctor Communication
48,Patient-Doctor Communication
49,Patient-Doctor Communication
49,Patient-Doctor Communication
49,Patient-Doctor Communication
50,Patient-Doctor Communication
50,Patient-Doctor Communication
50,Patient-Doctor Communication
51,Follow-Up and Continuity of Care
51,Follow-Up and Continuity of Care
51,Follow-Up and Continuity of Care
52,Patient Safety
52,Patient Safety
52,Patient Safety
53,Telephone Service
53,Telephone Service
53,Telephone Service
54,Appointment Accessibility
54,Appointment Accessibility
54,Appointment Accessibility
55,Medical Staff Competence
55,Medical Staff Competence
55,Medical Staff Competence
56,Patient-Doctor Communication
56,Patient-Doctor Communication
56,Patient-Doctor Communication
57,Patient-Doctor Communication
57,Patient-Doctor Communication
57,Patient-Doctor Communication
58,Doctor Consultations
58,Doctor Consultations
58,Doctor Consultations
59,Patient-Doctor Communication
59,Patient-Doctor Communication
59,Patient-Doctor Communication
60,Appointment Accessibility
60,Appointment Accessibility
60,Appointment Accessibility
61,Reception Staff Interaction
61,Reception Staff Interaction
61,Reception Staff Interaction
62,Referral Efficiency
62,Referral Efficiency
62,Referral Efficiency
63,Telephone Service
63,Telephone Service
63,Telephone Service
64,Telephone Service
64,Telephone Service
64,Telephone Service
65,Overall Patient Satisfaction
65,Overall Patient Satisfaction
65,Overall Patient Satisfaction
66,Follow-Up and Continuity of Care
66,Follow-Up and Continuity of Care
66,Follow-Up and Continuity of Care
67,Patient-Doctor Communication
67,Patient-Doctor Communication
67,Patient-Doctor Communication
68,Medical Staff Competence
68,Medical Staff Competence
68,Medical Staff Competence
69,Follow-Up and Continuity of Care
69,Follow-Up and Continuity of Care
69,Follow-Up and Continuity of Care
70,Medical Staff Competence
70,Medical Staff Competence
70,Medical Staff Competence
71,Reception Staff Interaction
71,Reception Staff Interaction
71,Reception Staff Interaction
72,Reception Staff Interaction
72,Reception Staff Interaction
73,Doctor Consultations
73,Doctor Consultations
74,Patient-Doctor Communication
74,Patient-Doctor Communication
75,Patient-Doctor Communication
75,Patient-Doctor Communication
76,Telephone Service
76,Telephone Service
77,Telephone Service
77,Telephone Service
78,Overall Patient Satisfaction
78,Overall Patient Satisfaction
79,Patient-Doctor Communication
79,Patient-Doctor Communication
80,Patient-Doctor Communication
80,Patient-Doctor Communication
81,Patient-Doctor Communication
81,Patient-Doctor Communication
82,Reception Staff Interaction
82,Reception Staff Interaction
83,Follow-Up and Continuity of Care
83,Follow-Up and Continuity of Care
84,Telephone Service
84,Telephone Service
85,Vaccinations
85,Vaccinations
86,Vaccinations
86,Vaccinations
87,Patient-Doctor Communication
87,Patient-Doctor Communication
88,Reception Staff Interaction
88,Reception Staff Interaction
89,Overall Patient Satisfaction
89,Overall Patient Satisfaction
90,Test Results
90,Test Results
91,Reception Staff Interaction
91,Reception Staff Interaction
92,Test Results
92,Test Results
93,Reception Staff Interaction
93,Reception Staff Interaction
94,Patient-Doctor Communication
94,Patient-Doctor Communication
95,Telephone Serviceid
95,Telephone Service
96,Patient-Doctor Communication
97,Telephone Service
98,Telephone Service
99,Doctor Consultations
100,Overall Patient Satisfaction
101,Test Results
102,Patient-Doctor Communication
103,Reception Staff Interaction
104,Patient-Doctor Communication
105,Reception Staff Interaction
106,Reception Staff Interaction
107,Emergency Handling
108,Patient-Doctor Communication
109,Telephone Service
110,Follow-Up and Continuity of Care
111,Medical Staff Competence
112,Reception Staff Interaction
113,Reception Staff Interaction
114,Follow-Up and Continuity of Care
115,Weekend Service Availability
116,Medical Staff Competence
117,Follow-Up and Continuity of Care
118,Medical Staff Competence
119,Reception Staff Interaction
120,Cancer Screening
121,Weekend Service Availability
122,Test Results
123,Appointment Accessibility
124,Test Results
125,Patient Empowerment and Support
126,Medical Staff Competence
127,Patient Empowerment and Support
128,Patient-Doctor Communication
129,Follow-Up and Continuity of Care
130,Reception Staff Interaction
131,Patient-Doctor Communication
132,Prescription and Medication Management
133,Patient-Doctor Communication
134,Telephone Service
135,Medical Staff Competence
136,Test Results
137,Reception Staff Interaction
138,Reception Staff Interaction
139,Reception Staff Interaction
140,Prescription and Medication Management
141,Telephone Service
142,Telephone Service
143,Patient Safety
144,Reception Staff Interaction
145,Follow-Up and Continuity of Care
146,Telephone Service
147,Telephone Service
148,Follow-Up and Continuity of Care
149,Telephone Service
150,Reception Staff Interaction
151,Patient-Doctor Communication
152,Telephone Service
153,Medical Staff Competence
154,Telephone Service
155,Reception Staff Interaction
156,Patient-Doctor Communication
157,Telephone Service
158,Patient-Doctor Communication
159,Telephone Service
160,Telephone Service
161,Patient-Doctor Communication
162,Prescription and Medication Management
163,Nursing Quality
164,Appointment Accessibility
165,Follow-Up and Continuity of Care
166,Reception Staff Interaction
167,Telephone Service
168,Patient-Doctor Communication
169,Follow-Up and Continuity of Care
170,Test Results
171,Patient-Doctor Communication
172,Prescription and Medication Management
173,Reception Staff Interaction
174,Follow-Up and Continuity of Care
175,Telephone Service
176,Patient-Doctor Communication
177,Test Results
178,Reception Staff Interaction
179,Reception Staff Interaction
180,Reception Staff Interaction
181,Patient-Doctor Communication
182,Reception Staff Interaction
183,Medical Staff Competence
184,Weekend Service Availability
185,Reception Staff Interaction
186,Reception Staff Interaction
187,Reception Staff Interaction
188,Reception Staff Interaction
189,Follow-Up and Continuity of Care
190,Reception Staff Interaction
191,Telephone Service
192,Weekend Service Availability
193,Telephone Service
194,Weekend Service Availability
195,Telephone Service
196,Reception Staff Interaction
197,Patient Safety
198,Patient Safety
199,Reception Staff Interaction
200,Appointment Accessibility
201,Appointment Accessibility
202,Telephone Service
203,Reception Staff Interaction
204,Telephone Service
205,Appointment Accessibility
206,Patient-Doctor Communication
207,Reception Staff Interaction
208,Appointment Accessibility
209,Reception Staff Interaction
210,Telephone Service
211,Telephone Service
212,Prescription and Medication Management
213,Telephone Service
214,Weekend Service Availability
215,Vaccinations
216,Telephone Service
217,Appointment Accessibility
218,Telephone Service
219,Appointment Accessibility
220,Appointment Accessibility
221,Test Results
222,Follow-Up and Continuity of Care
223,Follow-Up and Continuity of Care
224,Patient-Doctor Communication
225,Appointment Accessibility
226,Follow-Up and Continuity of Care
227,Reception Staff Interaction
228,Patient-Doctor Communication
229,Follow-Up and Continuity of Care
230,Telephone Service
231,Medical Staff Competence
232,Prescription and Medication Management
233,Reception Staff Interaction
234,Waiting Room Comfort
235,Reception Staff Interaction
236,Reception Staff Interaction
237,Reception Staff Interaction
238,Online Services & Digital Health
239,Reception Staff Interaction
240,Overall Patient Satisfaction
241,Patient Empowerment and Support
242,Telephone Service
243,Telephone Service
244,Reception Staff Interaction
245,Patient Privacy and Confidentiality
246,Reception Staff Interaction
247,Medical Staff Competence
248,Reception Staff Interaction
249,Medical Staff Competence
250,Referral Efficiency
251,Telehealth Services
252,Patient Empowerment and Support
253,Reception Staff Interaction
254,Reception Staff Interaction
255,Telephone Service
256,Patient-Doctor Communication
257,Follow-Up and Continuity of Care
258,Reception Staff Interaction
259,Follow-Up and Continuity of Care
260,Patient-Doctor Communication
261,Follow-Up and Continuity of Care
262,Patient-Doctor Communication
263,Reception Staff Interaction
264,Patient Safety
265,Follow-Up and Continuity of Care
266,Overall Patient Satisfaction
267,Patient-Doctor Communication
268,Reception Staff Interaction
269,Doctor Consultations
270,Reception Staff Interaction
271,Reception Staff Interaction
272,Online Services & Digital Health
273,Prescription and Medication Management
274,Reception Staff Interaction
275,Reception Staff Interaction
276,Overall Patient Satisfaction
277,Mental Health Support
278,Reception Staff Interaction
279,Patient-Doctor Communication
280,Health Outcome Satisfaction
281,Prescription and Medication Management
282,Reception Staff Interaction
283,Reception Staff Interaction
284,Reception Staff Interaction
285,Reception Staff Interaction
286,Follow-Up and Continuity of Care
287,Telephone Service
288,Reception Staff Interaction
289,Reception Staff Interaction
290,Reception Staff Interaction
291,Reception Staff Interaction
292,Follow-Up and Continuity of Care
293,Telephone Service
294,Reception Staff Interaction
295,Reception Staff Interaction
296,Reception Staff Interaction
297,Reception Staff Interaction
298,Test Results
299,Telephone Service
300,Follow-Up and Continuity of Care
301,Medical Staff Competence
302,Telephone Service
303,Patient-Doctor Communication
304,Vaccinations
305,Overall Patient Satisfaction
306,Test Results
307,Medical Staff Competence
308,Patient-Doctor Communication
309,Patient-Doctor Communication
310,Medical Staff Competence
311,Prescription and Medication Management
312,Test Results
313,Doctor Consultations
314,Facilities and Cleanliness
315,Overall Patient Satisfaction
316,Patient Participation Group
317,Vaccinations
318,Overall Patient Satisfaction
319,Home Visits
320,Follow-Up and Continuity of Care
321,Medical Staff Competence
322,Patient-Doctor Communication
323,Test Results
324,Patient Participation Group
325,Patient-Doctor Communication
326,Patient-Doctor Communication
327,Follow-Up and Continuity of Care
328,Medical Staff Competence
329,Reception Staff Interaction
330,Reception Staff Interaction
331,Reception Staff Interaction
332,Patient-Doctor Communication
333,Reception Staff Interaction
334,Follow-Up and Continuity of Care
335,Follow-Up and Continuity of Care
336,Reception Staff Interaction
337,Overall Patient Satisfaction
338,Patient Empowerment and Support
339,Patient-Doctor Communication
340,Reception Staff Interaction
341,Prescription and Medication Management
342,Reception Staff Interaction
343,Medical Staff Competence
344,Patient-Doctor Communication
345,Reception Staff Interaction
346,Follow-Up and Continuity of Care
347,Reception Staff Interaction
348,Patient Empowerment and Support
349,Health Outcome Satisfaction
350,Reception Staff Interaction
351,Patient Empowerment and Support
352,Follow-Up and Continuity of Care
353,Reception Staff Interaction
354,Follow-Up and Continuity of Care
355,Reception Staff Interaction
356,Reception Staff Interaction
357,Reception Staff Interaction
358,Patient Empowerment and Support
359,Reception Staff Interaction
360,Reception Staff Interaction
361,Reception Staff Interaction
362,Reception Staff Interaction
363,Reception Staff Interaction
364,Reception Staff Interaction
365,Reception Staff Interaction
366,Reception Staff Interaction
367,Follow-Up and Continuity of Care
368,Reception Staff Interaction
369,Reception Staff Interaction
370,Follow-Up and Continuity of Care
371,Patient-Doctor Communication
372,Patient-Doctor Communication
373,Telephone Service
374,Prescription and Medication Management
375,Reception Staff Interaction
376,Medical Staff Competence
377,Reception Staff Interaction
378,Patient-Doctor Communication
379,Patient-Doctor Communication
380,Medical Staff Competence
381,Follow-Up and Continuity of Care
382,Overall Patient Satisfaction
383,Patient Empowerment and Support
384,Overall Patient Satisfaction
385,Reception Staff Interaction
386,Reception Staff Interaction
387,Reception Staff Interaction
388,Medical Staff Competence
389,Follow-Up and Continuity of Care
390,Vaccinations
391,Patient-Doctor Communication
392,Patient-Doctor Communication
393,Patient-Doctor Communication
394,Follow-Up and Continuity of Care
395,Follow-Up and Continuity of Care
396,Medical Staff Competence
397,Medical Staff Competence
398,Doctor Consultations
399,Follow-Up and Continuity of Care
400,Patient-Doctor Communication
401,Medical Staff Competence
402,Doctor Consultations
403,Patient Empowerment and Support
404,Reception Staff Interaction
405,Reception Staff Interaction
406,Medical Staff Competence
407,Prescription and Medication Management
408,Vaccinations
409,Reception Staff Interaction
410,Follow-Up and Continuity of Care
411,Appointment Accessibility
412,Prescription and Medication Management
413,Patient Safety
414,Medical Staff Competence
415,Patient-Doctor Communication
416,Follow-Up and Continuity of Care
417,Patient-Doctor Communication
418,Medical Staff Competence
419,Medical Staff Competence
420,Telephone Service
421,Overall Patient Satisfaction
422,Follow-Up and Continuity of Care
423,Appointment Accessibility
424,Telephone Service
425,Medical Staff Competence
426,Patient Empowerment and Support
427,Telephone Service
428,Follow-Up and Continuity of Care
429,Appointment Accessibility
430,Follow-Up and Continuity of Care
431,Appointment Accessibility
432,Appointment Accessibility
433,Medical Staff Competence
434,Patient-Doctor Communication
435,Overall Patient Satisfaction
436,Overall Patient Satisfaction
437,Medical Staff Competence
438,Medical Staff Competence
439,Medical Staff Competence
440,Reception Staff Interaction
441,Medical Staff Competence
442,Cancer Screening
443,Doctor Consultations
444,Follow-Up and Continuity of Care
445,Telephone Service
446,Telephone Service
447,Follow-Up and Continuity of Care
448,Medical Staff Competence
449,Doctor Consultations
450,Medical Staff Competence
451,Emergency Handling
452,Facilities and Cleanliness
453,Patient Empowerment and Support
454,Medical Staff Competence
455,Medical Staff Competence
456,Prescription and Medication Management
457,Appointment Accessibility
458,Prescription and Medication Management
459,Prescription and Medication Management
460,Telephone Service
461,Telephone Service
462,Patient-Doctor Communication
463,Telephone Service
464,Patient-Doctor Communication
465,Reception Staff Interaction
466,Reception Staff Interaction
467,Reception Staff Interaction
468,Patient Privacy and Confidentiality
469,Reception Staff Interaction
470,Patient-Doctor Communication
471,Medical Staff Competence
472,Overall Patient Satisfaction
473,Reception Staff Interaction
474,Reception Staff Interaction
475,Follow-Up and Continuity of Care
476,Telephone Service
477,Patient Safety
478,Reception Staff Interaction
479,Follow-Up and Continuity of Care
480,Reception Staff Interaction
481,Facilities and Cleanliness
482,Medical Staff Competence
483,Appointment Accessibility
484,Follow-Up and Continuity of Care
485,Telephone Service
486,Telephone Service
487,Reception Staff Interaction
488,Doctor Consultations
489,Follow-Up and Continuity of Care
490,Patient Safety
491,Patient-Doctor Communication
492,Reception Staff Interaction
493,Patient-Doctor Communication
494,Reception Staff Interaction
495,Reception Staff Interaction
496,Reception Staff Interaction
497,Medical Staff Competence
498,Patient Privacy and Confidentiality
499,Patient-Doctor Communication
500,Patient-Doctor Communication
501,Patient-Doctor Communication
502,Doctor Consultations
503,Test Results
504,Follow-Up and Continuity of Care
505,Reception Staff Interaction
506,Reception Staff Interaction
507,Patient Empowerment and Support
508,Reception Staff Interaction
509,Reception Staff Interaction
510,Reception Staff Interaction
511,Test Results
512,Reception Staff Interaction
513,Patient-Doctor Communication
514,Telephone Service
515,Medical Staff Competence
516,Follow-Up and Continuity of Care
517,Reception Staff Interaction
518,Reception Staff Interaction
519,Follow-Up and Continuity of Care
520,Overall Patient Satisfaction
520,Medical Staff Competence
521,Patient-Doctor Communication
521,Patient-Doctor Communication
522,Doctor Consultations
522,Overall Patient Satisfaction
523,Facilities and Cleanliness
523,Reception Staff Interaction
524,Telephone Service
524,Patient Empowerment and Support
525,Follow-Up and Continuity of Care
525,Weekend Service Availability
526,Reception Staff Interaction
526,Reception Staff Interaction
527,Reception Staff Interaction
527,Patient-Doctor Communication
528,Follow-Up and Continuity of Care
528,Appointment Accessibility
529,Follow-Up and Continuity of Care
529,Patient-Doctor Communication
530,Reception Staff Interaction
530,Overall Patient Satisfaction
531,Reception Staff Interaction
531,Patient-Doctor Communication
532,Patient Empowerment and Support
532,Follow-Up and Continuity of Care
533,Prescription and Medication Management
533,Test Results
534,Overall Patient Satisfaction
534,Prescription and Medication Management
535,Reception Staff Interaction
535,Telehealth Services
536,Patient Empowerment and Support
536,Appointment Accessibility
537,Telephone Service
537,Overall Patient Satisfaction
538,Test Results
538,Overall Patient Satisfaction
539,Telephone Service
539,Prescription and Medication Management
540,Reception Staff Interaction
540,Follow-Up and Continuity of Care
541,Reception Staff Interaction
541,Follow-Up and Continuity of Care
542,Medical Staff Competence
542,Medical Staff Competence
543,Patient-Doctor Communication
543,Follow-Up and Continuity of Care
544,Waiting Room Comfort
544,Appointment Accessibility
545,Reception Staff Interaction
545,Follow-Up and Continuity of Care
546,Vaccinations
546,Patient-Doctor Communication
547,Overall Patient Satisfaction
547,Follow-Up and Continuity of Care
548,Reception Staff Interaction
548,Reception Staff Interaction
549,Reception Staff Interaction
549,Patient-Doctor Communication
550,Reception Staff Interaction
550,Reception Staff Interaction
551,Reception Staff Interaction
551,Follow-Up and Continuity of Care
552,Reception Staff Interaction
552,Follow-Up and Continuity of Care
553,Reception Staff Interaction
553,Reception Staff Interaction
554,Reception Staff Interaction
554,Patient Empowerment and Support
555,Reception Staff Interaction
555,Prescription and Medication Management
556,Reception Staff Interaction
556,Medical Staff Competence
557,Medical Staff Competence
557,Reception Staff Interaction
558,Overall Patient Satisfaction
558,Reception Staff Interaction
559,Reception Staff Interaction
559,Reception Staff Interaction
560,Patient-Doctor Communication
560,Prescription and Medication Management
561,Reception Staff Interaction
561,Reception Staff Interaction
562,Emergency Handling
562,Reception Staff Interaction
563,Follow-Up and Continuity of Care
563,Health Outcome Satisfaction
564,Reception Staff Interaction
564,Reception Staff Interaction
565,Reception Staff Interaction
565,Medical Staff Competence
566,Health Outcome Satisfaction
566,Patient-Doctor Communication
567,Prescription and Medication Management
567,Patient Empowerment and Support
568,Follow-Up and Continuity of Care
568,Facilities and Cleanliness
569,Patient-Doctor Communication
569,Test Results
570,Follow-Up and Continuity of Care
570,Telephone Service
571,Medical Staff Competence
571,Patient-Doctor Communication
572,Reception Staff Interaction
572,Overall Patient Satisfaction
573,Reception Staff Interaction
573,Vaccinations
574,Reception Staff Interaction
574,Vaccinations
575,Reception Staff Interaction
575,Vaccinations
576,Patient-Doctor Communication
576,Vaccinations
577,Reception Staff Interaction
577,Vaccinations
578,Reception Staff Interaction
578,Vaccinations
579,Reception Staff Interaction
579,Vaccinations
580,Reception Staff Interaction
580,Vaccinations
581,Patient Empowerment and Support
581,Vaccinations
582,Medical Staff Competence
582,Vaccinations
583,Follow-Up and Continuity of Care
583,Vaccinations
584,Patient-Doctor Communication
584,Vaccinations
585,Reception Staff Interaction
585,Patient-Doctor Communication
586,Overall Patient Satisfaction
586,Medical Staff Competence
587,Patient-Doctor Communication
587,Overall Patient Satisfaction
588,Telephone Service
588,Vaccinations
589,Follow-Up and Continuity of Care
589,Vaccinations
590,Follow-Up and Continuity of Care
590,Vaccinations
591,Reception Staff Interaction
591,Vaccinations
592,Medical Staff Competence
592,Telephone Service
592,Reception Staff Interaction
593,Patient-Doctor Communication
593,Reception Staff Interaction
593,Vaccinations
594,Medical Staff Competence
594,Test Results
594,Vaccinations
595,Reception Staff Interaction
595,Patient-Doctor Communication
595,Overall Patient Satisfaction
596,Reception Staff Interaction
596,Reception Staff Interaction
596,Overall Patient Satisfaction
597,Appointment Accessibility
597,Reception Staff Interaction
597,Vaccinations
598,Reception Staff Interaction
598,Reception Staff Interaction
598,Facilities and Cleanliness
599,Vaccinations
599,Reception Staff Interaction
599,Vaccinations
600,Patient-Doctor Communication
600,Reception Staff Interaction
600,Vaccinations
601,Follow-Up and Continuity of Care
601,Patient-Doctor Communication
601,Vaccinations
602,Test Results
602,Reception Staff Interaction
602,Vaccinations
603,Follow-Up and Continuity of Care
603,Prescription and Medication Management
603,Vaccinations
604,Reception Staff Interaction
604,Follow-Up and Continuity of Care
604,Reception Staff Interaction
605,Reception Staff Interaction
605,Emergency Handling
605,Overall Patient Satisfaction
606,Reception Staff Interaction
606,Telephone Service
606,Overall Patient Satisfaction
607,Medical Staff Competence
607,Reception Staff Interaction
607,Overall Patient Satisfaction
608,Overall Patient Satisfaction
608,Reception Staff Interaction
608,Follow-Up and Continuity of Care
609,Reception Staff Interaction
609,Patient Safety
609,Vaccinations
610,Patient-Doctor Communication
610,Reception Staff Interaction
610,Vaccinations
611,Test Results
611,Reception Staff Interaction
611,Vaccinations
612,Reception Staff Interaction
612,Reception Staff Interaction
612,Vaccinations
613,Reception Staff Interaction
613,Patient-Doctor Communication
613,Vaccinations
614,Reception Staff Interaction
614,Follow-Up and Continuity of Care
614,Vaccinations
615,Telephone Service
615,Follow-Up and Continuity of Care
615,Vaccinations
616,Weekend Service Availability
616,Vaccinations
617,Overall Patient Satisfaction
617,Vaccinations
618,Reception Staff Interaction
618,Vaccinations
619,Appointment Accessibility
619,Vaccinations
620,Patient Privacy and Confidentiality
620,Patient-Doctor Communication
621,Patient Empowerment and Support
621,Prescription and Medication Management
622,Follow-Up and Continuity of Care
622,Reception Staff Interaction
623,Patient-Doctor Communication
623,Follow-Up and Continuity of Care
624,Medical Staff Competence
624,Reception Staff Interaction
625,Reception Staff Interaction
625,Telephone Service
626,Medical Staff Competence
626,Reception Staff Interaction
627,Medical Staff Competence
627,Medical Staff Competence
628,Overall Patient Satisfaction
628,Patient-Doctor Communication
629,Vaccinations
629,Follow-Up and Continuity of Care
630,Telephone Service
630,Patient-Doctor Communication
631,Medical Staff Competence
631,Follow-Up and Continuity of Care
632,Reception Staff Interaction
632,Prescription and Medication Management
633,Patient-Doctor Communication
633,Reception Staff Interaction
634,Medical Staff Competence
634,Prescription and Medication Management
635,Patient Privacy and Confidentiality
635,Reception Staff Interaction
636,Reception Staff Interaction
636,Telephone Service
637,Medical Staff Competence
637,Patient-Doctor Communication
638,Patient Participation Group
638,Follow-Up and Continuity of Care
639,Patient-Doctor Communication
639,Telephone Service
640,Reception Staff Interaction
640,Overall Patient Satisfaction
641,Vaccinations
641,Medical Staff Competence
642,Reception Staff Interaction
642,Overall Patient Satisfaction
643,Follow-Up and Continuity of Care
643,Medical Staff Competence
644,Vaccinations
644,Medical Staff Competence
645,Reception Staff Interaction
645,Overall Patient Satisfaction
646,Follow-Up and Continuity of Care
646,Reception Staff Interaction
647,Test Results
647,Telephone Service
648,Prescription and Medication Management
648,Overall Patient Satisfaction
649,Reception Staff Interaction
649,Prescription and Medication Management
650,Telephone Service
650,Follow-Up and Continuity of Care
651,Follow-Up and Continuity of Care
651,Reception Staff Interaction
652,Reception Staff Interaction
652,Medical Staff Competence
653,Mental Health Support
653,Reception Staff Interaction
654,Follow-Up and Continuity of Care
654,Reception Staff Interaction
655,Patient Empowerment and Support
655,Telephone Service
656,Patient Empowerment and Support
656,Prescription and Medication Management
657,Follow-Up and Continuity of Care
657,Patient-Doctor Communication
658,Patient-Doctor Communication
658,Referral Efficiency
659,Patient-Doctor Communication
659,Reception Staff Interaction
660,Medical Staff Competence
660,Reception Staff Interaction
661,Patient Empowerment and Support
661,Telephone Service
662,Patient-Doctor Communication
662,Reception Staff Interaction
663,Medical Staff Competence
663,Test Results
664,Reception Staff Interaction
664,Patient-Doctor Communication
665,Medical Staff Competence
665,Reception Staff Interaction
666,Follow-Up and Continuity of Care
666,Reception Staff Interaction
667,Overall Patient Satisfaction
667,Reception Staff Interaction
668,Reception Staff Interaction
668,Reception Staff Interaction
669,Prescription and Medication Management
669,Reception Staff Interaction
670,Medical Staff Competence
670,Patient-Doctor Communication
671,Reception Staff Interaction
671,Reception Staff Interaction
672,Reception Staff Interaction
672,Prescription and Medication Management
673,Reception Staff Interaction
673,Follow-Up and Continuity of Care
674,Reception Staff Interaction
674,Emergency Handling
675,Overall Patient Satisfaction
675,Telephone Service
676,Follow-Up and Continuity of Care
676,Reception Staff Interaction
677,Reception Staff Interaction
677,Reception Staff Interaction
678,Telephone Service
678,Patient Safety
679,Reception Staff Interaction
679,Reception Staff Interaction
680,Reception Staff Interaction
680,Reception Staff Interaction
681,Reception Staff Interaction
681,Reception Staff Interaction
682,Patient-Doctor Communication
682,Patient-Doctor Communication
683,Reception Staff Interaction
683,Follow-Up and Continuity of Care
684,Reception Staff Interaction
684,Follow-Up and Continuity of Care
685,Medical Staff Competence
685,Telephone Service
686,Weekend Service Availability
686,Reception Staff Interaction
687,Telephone Service
687,Test Results
688,Medical Staff Competence
688,Appointment Accessibility
689,Reception Staff Interaction
689,Reception Staff Interaction
690,Reception Staff Interaction
690,Reception Staff Interaction
691,Patient-Doctor Communication
691,Medical Staff Competence
692,Reception Staff Interaction
692,Follow-Up and Continuity of Care
693,Patient Safety
693,Vaccinations
694,Reception Staff Interaction
694,Medical Staff Competence
695,Test Results
695,Reception Staff Interaction
696,Patient-Doctor Communication
696,Reception Staff Interaction
697,Reception Staff Interaction
697,Patient-Doctor Communication
698,Reception Staff Interaction
698,Follow-Up and Continuity of Care
699,Prescription and Medication Management
699,Patient Empowerment and Support
700,Telephone Service
700,Follow-Up and Continuity of Care
701,Patient Privacy and Confidentiality
701,Reception Staff Interaction
702,Patient-Doctor Communication
702,Reception Staff Interaction
703,Patient Empowerment and Support
703,Follow-Up and Continuity of Care
704,Patient-Doctor Communication
704,Medical Staff Competence
705,Cancer Screening
705,Overall Patient Satisfaction
706,Medical Staff Competence
706,Patient-Doctor Communication
707,Follow-Up and Continuity of Care
707,Reception Staff Interaction
708,Follow-Up and Continuity of Care
708,Patient-Doctor Communication
709,Patient-Doctor Communication
709,Reception Staff Interaction
710,Telephone Service
710,Patient-Doctor Communication
711,Appointment Accessibility
711,Follow-Up and Continuity of Care
712,Medical Staff Competence
712,Telephone Service
713,Telephone Service
713,Vaccinations
714,Reception Staff Interaction
714,Follow-Up and Continuity of Care
715,Test Results
715,Medical Staff Competence
716,Prescription and Medication Management
716,Reception Staff Interaction
717,Patient Participation Group
717,Health Outcome Satisfaction
718,Follow-Up and Continuity of Care
718,Telephone Service
719,Telephone Service
719,Reception Staff Interaction
720,Follow-Up and Continuity of Care
720,Doctor Consultations
721,Telephone Service
721,Telephone Service
722,Follow-Up and Continuity of Care
722,Patient-Doctor Communication
723,Doctor Consultations
723,Reception Staff Interaction
724,Medical Staff Competence
724,Follow-Up and Continuity of Care
725,Follow-Up and Continuity of Care
725,Reception Staff Interaction
726,Patient-Doctor Communication
726,Reception Staff Interaction
727,Reception Staff Interaction
727,Reception Staff Interaction
728,Patient-Doctor Communication
728,Overall Patient Satisfaction
729,Reception Staff Interaction
729,Reception Staff Interaction
730,Emergency Handling
730,Reception Staff Interaction
731,Patient-Doctor Communication
731,Doctor Consultations
